material_id,cnc_num,load_raw_start,unload_half_start,load_half_start,unload_pipe_start
1,2,00:00:00,00:07:54,00:08:22,00:15:57
2,4,00:00:48,00:09:41,00:10:09,00:23:43
3,6,00:01:36,00:11:28,00:11:56,00:20:32
4,7,00:02:24,00:00:00,00:00:00,00:00:00
5,2,00:08:53,00:16:53,00:17:21,00:24:59
6,8,00:10:40,00:18:40,00:19:41,00:33:11
7,6,00:12:27,00:21:28,00:21:56,00:30:00
8,4,00:13:43,00:28:08,00:29:09,00:37:13
9,2,00:17:52,00:25:55,00:26:23,00:40:36
10,6,00:22:27,00:30:56,00:31:24,00:44:38
11,8,00:23:15,00:34:40,00:35:41,04:42:34
12,4,00:26:54,00:38:29,00:39:17,00:48:01
13,2,00:31:55,00:42:05,00:43:06,00:51:24
14,8,00:32:43,04:43:30,04:43:58,05:40:24
15,6,00:36:45,00:45:54,00:46:42,00:55:26
16,4,00:40:08,00:49:17,00:50:05,00:58:49
17,2,00:44:10,00:52:53,00:53:54,01:02:12
18,6,00:47:33,00:56:42,00:57:30,01:06:14
19,4,00:50:56,01:00:05,01:00:53,01:09:37
20,2,00:54:58,01:03:41,01:04:42,01:13:00
21,6,00:58:21,01:07:30,01:08:18,01:17:02
22,4,01:01:44,01:10:53,01:11:41,01:20:25
23,2,01:05:46,01:14:29,01:15:30,01:23:48
24,6,01:09:09,01:18:18,01:19:06,01:27:50
25,4,01:12:32,01:21:41,01:22:29,01:31:13
26,2,01:16:34,01:25:17,01:26:18,01:34:36
27,6,01:19:57,01:29:06,01:29:54,01:38:38
28,4,01:23:20,01:32:29,01:33:17,01:42:01
29,2,01:27:22,01:36:05,01:37:06,01:45:24
30,6,01:30:45,01:39:54,01:40:42,01:49:26
31,4,01:34:08,01:43:17,01:44:05,01:52:49
32,2,01:38:10,01:46:53,01:47:54,01:56:12
33,6,01:41:33,01:50:42,01:51:30,02:00:14
34,4,01:44:56,01:54:05,01:54:53,02:03:37
35,2,01:48:58,01:57:41,01:58:42,02:07:00
36,6,01:52:21,02:01:30,02:02:18,02:11:02
37,4,01:55:44,02:04:53,02:05:41,02:14:25
38,2,01:59:46,02:08:29,02:09:30,02:17:48
39,6,02:03:09,02:12:18,02:13:06,02:21:50
40,4,02:06:32,02:15:41,02:16:29,02:25:13
41,2,02:10:34,02:19:17,02:20:18,02:28:36
42,6,02:13:57,02:23:06,02:23:54,02:32:38
43,4,02:17:20,02:26:29,02:27:17,02:36:01
44,2,02:21:22,02:30:05,02:31:06,02:39:24
45,6,02:24:45,02:33:54,02:34:42,02:43:26
46,4,02:28:08,02:37:17,02:38:05,02:46:49
47,2,02:32:10,02:40:53,02:41:54,02:50:12
48,6,02:35:33,02:44:42,02:45:30,02:54:14
49,4,02:38:56,02:48:05,02:48:53,02:57:37
50,2,02:42:58,02:51:41,02:52:42,03:01:00
51,6,02:46:21,02:55:30,02:56:18,03:05:02
52,4,02:49:44,02:58:53,02:59:41,03:08:25
53,2,02:53:46,03:02:29,03:03:30,03:11:48
54,6,02:57:09,03:06:18,03:07:06,03:15:50
55,4,03:00:32,03:09:41,03:10:29,03:19:13
56,2,03:04:34,03:13:17,03:14:18,03:22:36
57,6,03:07:57,03:17:06,03:17:54,03:26:38
58,4,03:11:20,03:20:29,03:21:17,03:30:01
59,2,03:15:22,03:24:05,03:25:06,03:33:24
60,6,03:18:45,03:27:54,03:28:42,03:37:26
61,4,03:22:08,03:31:17,03:32:05,03:40:49
62,2,03:26:10,03:34:53,03:35:54,03:44:12
63,6,03:29:33,03:38:42,03:39:30,03:48:14
64,4,03:32:56,03:42:05,03:42:53,03:51:37
65,2,03:36:58,03:45:41,03:46:42,03:55:00
66,6,03:40:21,03:49:30,03:50:18,03:59:02
67,4,03:43:44,03:52:53,03:53:41,04:02:25
68,2,03:47:46,03:56:29,03:57:30,04:05:48
69,6,03:51:09,04:00:18,04:01:06,04:09:50
70,4,03:54:32,04:03:41,04:04:29,04:13:13
71,2,03:58:34,04:07:17,04:08:18,04:16:36
72,6,04:01:57,04:11:06,04:11:54,04:20:38
73,4,04:05:20,04:14:29,04:15:17,04:24:01
74,2,04:09:22,04:18:05,04:19:06,04:27:24
75,6,04:12:45,04:21:54,04:22:42,04:31:26
76,4,04:16:08,04:25:17,04:26:05,04:34:49
77,2,04:20:10,04:28:53,04:29:54,04:38:12
78,6,04:23:33,04:32:42,04:33:30,00:00:00
79,4,04:26:56,04:36:05,04:36:53,04:47:37
80,2,04:30:58,04:39:41,04:40:42,04:51:00
81,6,04:34:21,04:45:30,04:46:18,04:55:02
82,4,04:37:44,04:48:53,04:49:41,04:58:25
83,2,04:41:46,04:52:29,04:53:30,05:01:48
84,4,04:44:29,05:32:18,05:33:19,05:44:00
85,6,04:47:09,04:56:18,04:57:06,05:05:50
86,4,04:50:32,04:59:41,05:00:29,05:09:13
87,2,04:54:34,05:03:17,05:04:18,05:12:36
88,6,04:57:57,05:07:06,05:07:54,05:16:38
89,4,05:01:20,05:10:29,05:11:17,05:20:01
90,2,05:05:22,05:14:05,05:15:06,05:23:24
91,6,05:08:45,05:17:54,05:18:42,05:27:26
92,4,05:12:08,05:21:17,05:22:05,05:30:49
93,2,05:16:10,05:24:53,05:25:54,05:34:38
94,6,05:19:33,05:28:42,05:29:30,05:38:40
95,1,05:22:56,00:00:00,00:00:00,00:00:00
96,2,05:26:58,05:36:07,05:37:08,05:47:23
97,6,05:30:21,05:41:53,05:42:41,05:52:57
98,4,05:34:10,05:45:16,05:46:04,05:57:21
99,8,05:38:12,05:48:52,05:49:40,06:06:30
100,2,05:39:56,05:50:11,05:51:25,06:00:44
101,6,05:43:32,05:55:14,05:56:02,06:04:46
102,4,05:46:55,05:58:37,05:59:25,06:10:06
103,2,05:52:29,06:02:13,06:03:14,06:13:29
104,7,05:54:13,00:00:00,00:00:00,00:00:00
105,6,05:56:53,06:07:59,06:08:47,06:19:03
106,4,06:00:16,06:11:22,06:12:10,06:23:27
107,8,06:04:18,06:14:58,06:15:46,06:38:24
108,2,06:06:02,06:16:17,06:17:31,06:26:50
109,6,06:09:38,06:21:20,06:22:08,06:30:52
110,4,06:13:01,06:24:43,06:25:31,06:34:15
111,2,06:18:35,06:28:19,06:29:20,00:00:00
112,8,06:20:19,06:39:20,06:39:48,00:00:00
113,6,06:22:59,06:32:08,06:32:56,06:43:40
114,4,06:26:22,06:35:31,06:36:19,06:47:03
115,2,06:30:24,06:41:07,06:42:08,06:50:26
116,6,06:33:47,06:44:56,06:45:44,06:54:28
117,4,06:37:10,06:48:19,06:49:07,06:57:51
118,7,06:40:19,00:00:00,00:00:00,00:00:00
119,2,06:43:12,06:51:55,06:52:56,07:01:14
120,6,06:46:35,06:55:44,06:56:32,07:05:16
121,4,06:49:58,06:59:07,06:59:55,07:08:39
122,2,06:54:00,07:02:43,07:03:44,07:12:02
123,6,06:57:23,07:06:32,07:07:20,07:16:04
124,4,07:00:46,07:09:55,07:10:43,07:19:27
125,2,07:04:48,07:13:31,07:14:32,07:22:50
126,6,07:08:11,07:17:20,07:18:08,07:26:52
127,4,07:11:34,07:20:43,07:21:31,07:30:15
128,2,07:15:36,07:24:19,07:25:20,07:33:38
129,6,07:18:59,07:28:08,07:28:56,07:37:40
130,4,07:22:22,07:31:31,07:32:19,07:41:03
131,2,07:26:24,07:35:07,07:36:08,07:44:26
132,6,07:29:47,07:38:56,07:39:44,07:48:28
133,4,07:33:10,07:42:19,07:43:07,07:51:51
134,2,07:37:12,07:45:55,07:46:56,07:55:14
135,6,07:40:35,07:49:44,07:50:32,07:59:16
136,4,07:43:58,07:53:07,07:53:55,00:00:00
137,2,07:48:00,07:56:43,07:57:44,00:00:00
138,3,07:51:23,00:00:00,00:00:00,00:00:00
139,1,07:54:46,00:00:00,00:00:00,00:00:00
140,5,07:58:48,00:00:00,00:00:00,00:00:00
