material_id,cnc_num,load_raw_start,unload_half_start,load_half_start,unload_pipe_start
35275,1,00:00:00,00:07:57,00:08:28,00:16:00
35276,3,00:00:51,00:09:47,00:10:18,00:18:43
35277,5,00:01:42,00:11:37,00:12:08,00:21:26
35278,7,00:02:33,00:13:27,00:13:58,00:24:09
35279,1,00:08:56,00:16:53,00:17:24,00:27:18
35280,3,00:10:46,00:19:36,00:20:07,00:30:01
35281,5,00:12:36,00:22:19,00:22:50,00:32:44
35282,7,00:14:26,00:25:02,00:25:33,00:35:27
35283,1,00:17:52,00:28:11,00:28:42,00:38:36
35284,3,00:20:35,00:30:54,00:31:25,00:41:19
35285,5,00:23:18,00:33:37,00:34:08,00:44:02
35286,7,00:26:01,00:36:20,00:36:51,00:46:45
35287,1,00:29:10,00:39:29,00:40:00,00:49:54
35288,3,00:31:53,00:42:12,00:42:43,00:52:37
35289,5,00:34:36,00:44:55,00:45:26,00:55:20
35290,7,00:37:19,00:47:38,00:48:09,00:58:03
35291,1,00:40:28,00:50:47,00:51:18,01:01:12
35292,3,00:43:11,00:53:30,00:54:01,01:03:55
35293,5,00:45:54,00:56:13,00:56:44,01:06:38
35294,7,00:48:37,00:58:56,00:59:27,01:09:21
35295,1,00:51:46,01:02:05,01:02:36,01:12:30
35296,3,00:54:29,01:04:48,01:05:19,01:15:13
35297,5,00:57:12,01:07:31,01:08:02,01:17:56
35298,7,00:59:55,01:10:14,01:10:45,01:20:39
35299,1,01:03:04,01:13:23,01:13:54,01:23:48
35300,3,01:05:47,01:16:06,01:16:37,01:26:31
35301,5,01:08:30,01:18:49,01:19:20,01:29:14
35302,7,01:11:13,01:21:32,01:22:03,01:31:57
35303,1,01:14:22,01:24:41,01:25:12,01:35:06
35304,3,01:17:05,01:27:24,01:27:55,01:37:49
35305,5,01:19:48,01:30:07,01:30:38,01:40:32
35306,7,01:22:31,01:32:50,01:33:21,01:43:15
35307,1,01:25:40,01:35:59,01:36:30,01:46:24
35308,3,01:28:23,01:38:42,01:39:13,01:49:07
35309,5,01:31:06,01:41:25,01:41:56,01:51:50
35310,7,01:33:49,01:44:08,01:44:39,01:54:33
35311,1,01:36:58,01:47:17,01:47:48,01:57:42
35312,3,01:39:41,01:50:00,01:50:31,02:00:25
35313,5,01:42:24,01:52:43,01:53:14,02:03:08
35314,7,01:45:07,01:55:26,01:55:57,02:05:51
35315,1,01:48:16,01:58:35,01:59:06,02:09:00
35316,3,01:50:59,02:01:18,02:01:49,02:11:43
35317,5,01:53:42,02:04:01,02:04:32,02:14:26
35318,7,01:56:25,02:06:44,02:07:15,02:17:09
35319,1,01:59:34,02:09:53,02:10:24,02:20:18
35320,3,02:02:17,02:12:36,02:13:07,02:23:01
35321,5,02:05:00,02:15:19,02:15:50,02:25:44
35322,7,02:07:43,02:18:02,02:18:33,02:28:27
35323,1,02:10:52,02:21:11,02:21:42,02:31:36
35324,3,02:13:35,02:23:54,02:24:25,02:34:19
35325,5,02:16:18,02:26:37,02:27:08,02:37:02
35326,7,02:19:01,02:29:20,02:29:51,02:39:45
35327,1,02:22:10,02:32:29,02:33:00,02:42:54
35328,3,02:24:53,02:35:12,02:35:43,02:45:37
35329,5,02:27:36,02:37:55,02:38:26,02:48:20
