material_id,cnc_num,load_start_time,unload_start_time
1,1,00:00:00,00:10:18
2,2,00:00:27,00:11:37
3,3,00:01:17,00:13:24
4,4,00:01:44,00:14:43
5,5,00:02:34,00:16:30
6,6,00:03:01,00:17:49
7,7,00:03:51,00:19:36
8,8,00:04:18,00:20:55
9,1,00:11:10,00:23:10
10,2,00:12:34,00:24:29
11,3,00:14:16,00:26:16
12,4,00:15:40,00:27:35
13,5,00:17:22,00:29:22
14,6,00:18:46,00:30:41
15,7,00:20:28,00:32:28
16,8,00:21:52,00:33:47
17,1,00:24:02,00:36:02
18,2,00:25:26,00:37:21
19,3,00:27:08,00:39:08
20,4,00:28:32,00:40:27
21,5,00:30:14,00:42:14
22,6,00:31:38,00:43:33
23,7,00:33:20,00:45:20
24,8,00:34:44,00:46:39
25,1,00:36:54,00:48:54
26,2,00:38:18,00:50:13
27,3,00:40:00,00:52:00
28,4,00:41:24,00:53:19
29,5,00:43:06,00:55:06
30,6,00:44:30,00:56:25
31,7,00:46:12,00:58:12
32,8,00:47:36,00:59:31
33,1,00:49:46,01:01:46
34,2,00:51:10,01:03:05
35,3,00:52:52,01:04:52
36,4,00:54:16,01:06:11
37,5,00:55:58,01:07:58
38,6,00:57:22,01:09:17
39,7,00:59:04,01:11:04
40,8,01:00:28,01:12:23
41,1,01:02:38,01:14:38
42,2,01:04:02,01:15:57
43,3,01:05:44,01:17:44
44,4,01:07:08,01:19:03
45,5,01:08:50,01:20:50
46,6,01:10:14,01:22:09
47,7,01:11:56,01:23:56
48,8,01:13:20,01:25:15
49,1,01:15:30,01:27:30
50,2,01:16:54,01:28:49
51,3,01:18:36,01:30:36
52,4,01:20:00,01:31:55
53,5,01:21:42,01:33:42
54,6,01:23:06,01:35:01
55,7,01:24:48,01:36:48
56,8,01:26:12,01:38:07
57,1,01:28:22,01:40:22
58,2,01:29:46,01:41:41
59,3,01:31:28,01:43:28
60,4,01:32:52,01:44:47
61,5,01:34:34,01:46:34
62,6,01:35:58,01:47:53
63,7,01:37:40,01:49:40
64,8,01:39:04,01:50:59
65,1,01:41:14,01:53:14
66,2,01:42:38,01:54:33
67,3,01:44:20,01:56:20
68,4,01:45:44,01:57:39
69,5,01:47:26,01:59:26
70,6,01:48:50,02:00:45
71,7,01:50:32,02:02:32
72,8,01:51:56,02:03:51
73,1,01:54:06,02:06:06
74,2,01:55:30,02:07:25
75,3,01:57:12,02:09:12
76,4,01:58:36,02:10:31
77,5,02:00:18,02:12:18
78,6,02:01:42,02:13:37
79,7,02:03:24,02:15:24
80,8,02:04:48,02:16:43
81,1,02:06:58,02:18:58
82,2,02:08:22,02:20:17
83,3,02:10:04,02:22:04
84,4,02:11:28,02:23:23
85,5,02:13:10,02:25:10
86,6,02:14:34,02:26:29
87,7,02:16:16,02:28:16
88,8,02:17:40,02:29:35
89,1,02:19:50,02:31:50
90,2,02:21:14,02:33:09
91,3,02:22:56,02:34:56
92,4,02:24:20,02:36:15
93,5,02:26:02,02:38:02
94,6,02:27:26,02:39:21
95,7,02:29:08,02:41:08
96,8,02:30:32,02:42:27
97,1,02:32:42,02:44:42
98,2,02:34:06,02:46:01
99,3,02:35:48,02:47:48
100,4,02:37:12,02:49:07
101,5,02:38:54,02:50:54
102,6,02:40:18,02:52:13
103,7,02:42:00,02:54:00
104,8,02:43:24,02:55:19
105,1,02:45:34,02:57:34
106,2,02:46:58,02:58:53
107,3,02:48:40,03:00:40
108,4,02:50:04,03:01:59
109,5,02:51:46,03:03:46
110,6,02:53:10,03:05:05
111,7,02:54:52,03:06:52
112,8,02:56:16,03:08:11
113,1,02:58:26,03:10:26
114,2,02:59:50,03:11:45
115,3,03:01:32,03:13:32
116,4,03:02:56,03:14:51
117,5,03:04:38,03:16:38
118,6,03:06:02,03:17:57
119,7,03:07:44,03:19:44
120,8,03:09:08,03:21:03
121,1,03:11:18,03:23:18
122,2,03:12:42,03:24:37
123,3,03:14:24,03:26:24
124,4,03:15:48,03:27:43
125,5,03:17:30,03:29:30
126,6,03:18:54,03:30:49
127,7,03:20:36,03:32:36
128,8,03:22:00,03:33:55
129,1,03:24:10,03:36:10
130,2,03:25:34,03:37:29
131,3,03:27:16,03:39:16
132,4,03:28:40,03:40:35
133,5,03:30:22,03:42:22
134,6,03:31:46,03:43:41
135,7,03:33:28,03:45:28
136,8,03:34:52,03:46:47
137,1,03:37:02,03:49:02
138,2,03:38:26,03:50:21
139,3,03:40:08,03:52:08
140,4,03:41:32,03:53:27
141,5,03:43:14,03:55:14
142,6,03:44:38,03:56:33
143,7,03:46:20,03:58:20
144,8,03:47:44,03:59:39
145,1,03:49:54,04:01:54
146,2,03:51:18,04:03:13
147,3,03:53:00,04:05:00
148,4,03:54:24,04:06:19
149,5,03:56:06,04:08:06
150,6,03:57:30,04:09:25
151,7,03:59:12,04:11:12
152,8,04:00:36,04:12:31
153,1,04:02:46,04:14:46
154,2,04:04:10,04:16:05
155,3,04:05:52,04:17:52
156,4,04:07:16,04:19:11
