material_id,cnc_num,load_start_time,unload_start_time
1,1,00:00:00,00:10:18
2,2,00:00:27,00:11:37
3,3,00:01:17,00:13:56
4,4,00:01:44,00:00:00
5,5,00:02:34,00:15:33
6,6,00:03:01,00:16:52
7,7,00:03:51,00:18:39
8,8,00:04:18,00:19:58
9,1,00:11:10,00:22:13
10,2,00:12:34,00:23:32
11,4,00:13:24,00:26:38
12,3,00:14:48,00:25:19
13,5,00:16:25,00:28:25
14,6,00:17:49,00:29:44
15,7,00:19:31,00:31:31
16,8,00:20:55,00:32:50
17,1,00:23:05,00:35:05
18,2,00:24:29,00:36:24
19,3,00:26:11,00:38:11
20,4,00:27:35,00:39:30
21,5,00:29:17,00:41:17
22,6,00:30:41,00:42:36
23,7,00:32:23,00:44:23
24,8,00:33:47,00:45:42
25,1,00:35:57,00:47:57
26,2,00:37:21,00:49:16
27,3,00:39:03,00:51:03
28,4,00:40:27,00:52:22
29,5,00:42:09,00:54:09
30,6,00:43:33,00:55:28
31,7,00:45:15,00:57:15
32,8,00:46:39,00:58:34
33,1,00:48:49,01:00:49
34,2,00:50:13,01:02:08
35,3,00:51:55,01:03:55
36,4,00:53:19,01:05:14
37,5,00:55:01,01:07:01
38,6,00:56:25,01:08:20
39,7,00:58:07,01:10:07
40,8,00:59:31,01:11:26
41,1,01:01:41,01:13:41
42,2,01:03:05,01:15:00
43,3,01:04:47,01:16:47
44,4,01:06:11,01:18:06
45,5,01:07:53,01:19:53
46,6,01:09:17,01:21:12
47,7,01:10:59,01:22:59
48,8,01:12:23,01:24:18
49,1,01:14:33,01:26:33
50,2,01:15:57,01:27:52
51,3,01:17:39,01:29:39
52,4,01:19:03,01:30:58
53,5,01:20:45,01:32:45
54,6,01:22:09,01:34:04
55,7,01:23:51,01:35:51
56,8,01:25:15,01:37:10
57,1,01:27:25,01:39:25
58,2,01:28:49,01:40:44
59,3,01:30:31,01:42:31
60,4,01:31:55,01:43:50
61,5,01:33:37,01:45:37
62,6,01:35:01,01:46:56
63,7,01:36:43,01:48:43
64,8,01:38:07,01:50:02
65,1,01:40:17,01:52:17
66,2,01:41:41,01:53:36
67,3,01:43:23,01:55:23
68,4,01:44:47,01:56:42
69,5,01:46:29,01:58:29
70,6,01:47:53,01:59:48
71,7,01:49:35,02:01:35
72,8,01:50:59,02:02:54
73,1,01:53:09,02:05:09
74,2,01:54:33,02:06:28
75,3,01:56:15,02:08:15
76,4,01:57:39,02:09:34
77,5,01:59:21,02:11:21
78,6,02:00:45,02:12:40
79,7,02:02:27,02:14:27
80,8,02:03:51,02:15:46
81,1,02:06:01,02:18:01
82,2,02:07:25,02:19:20
83,3,02:09:07,02:21:07
84,4,02:10:31,02:22:26
85,5,02:12:13,02:24:13
86,6,02:13:37,02:25:32
87,7,02:15:19,02:27:19
88,8,02:16:43,02:28:38
89,1,02:18:53,02:30:53
90,2,02:20:17,02:32:12
91,3,02:21:59,02:33:59
92,4,02:23:23,02:35:18
93,5,02:25:05,02:37:05
94,6,02:26:29,02:38:24
95,7,02:28:11,02:40:11
96,8,02:29:35,02:41:30
97,1,02:31:45,02:43:45
98,2,02:33:09,02:45:04
99,3,02:34:51,02:46:51
100,4,02:36:15,02:48:10
101,5,02:37:57,02:49:57
102,6,02:39:21,02:51:16
103,7,02:41:03,02:53:03
104,8,02:42:27,02:54:22
105,1,02:44:37,02:56:37
106,2,02:46:01,02:57:56
107,3,02:47:43,02:59:43
108,4,02:49:07,03:01:02
109,5,02:50:49,03:02:49
110,6,02:52:13,03:04:08
111,7,02:53:55,03:05:55
112,8,02:55:19,03:07:14
113,1,02:57:29,03:09:29
114,2,02:58:53,03:10:48
115,3,03:00:35,03:12:35
116,4,03:01:59,03:13:54
117,5,03:03:41,03:15:41
118,6,03:05:05,03:17:00
119,7,03:06:47,03:18:47
120,8,03:08:11,03:20:06
121,1,03:10:21,03:22:21
122,2,03:11:45,03:23:40
123,3,03:13:27,03:25:27
124,4,03:14:51,03:26:46
125,5,03:16:33,03:28:33
126,6,03:17:57,03:29:52
127,7,03:19:39,03:31:39
128,8,03:21:03,03:32:58
129,1,03:23:13,03:35:13
130,2,03:24:37,03:36:32
131,3,03:26:19,03:38:19
132,4,03:27:43,03:39:38
133,5,03:29:25,03:41:25
134,6,03:30:49,03:42:44
135,7,03:32:31,03:44:31
136,8,03:33:55,03:45:50
137,1,03:36:05,03:48:05
138,2,03:37:29,03:49:24
139,3,03:39:11,03:51:11
140,4,03:40:35,03:52:30
141,5,03:42:17,03:54:17
142,6,03:43:41,03:55:36
143,7,03:45:23,03:57:23
144,8,03:46:47,03:58:42
145,1,03:48:57,04:00:57
146,2,03:50:21,04:02:16
147,3,03:52:03,04:04:03
148,4,03:53:27,04:05:22
149,5,03:55:09,04:07:09
150,6,03:56:33,04:08:28
151,7,03:58:15,04:10:15
152,8,03:59:39,04:11:34
153,1,04:01:49,04:13:49
154,2,04:03:13,04:15:08
155,3,04:04:55,04:16:55
156,4,04:06:19,00:00:00
